State & District,Population,Male,Female,Literate,Male_Literate,Female_Literate,SC,Male_SC,Female_SC,ST,Male_ST,Female_ST,Workers,Male_Workers,Female_Workers,Main_Workers,Marginal_Workers,Non_Workers,Cultivator_Workers,Agricultural_Workers,Household_Workers,Other_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Rural_Households,Urban_Households,Households,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Literate_Education,Illiterate_Education,Total_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50
"district_code:352, state_name:JHARKHAND, district_name:Sahibganj",1150567,589391,561176,483263,287303,195960,72341,37317,35024,308343,153435,154908,490202,295690,194512,322572,167630,660365,109975,206902,43179,130146,628044,398243,83208,198,245,125,38426,2078,11545,34879,591,9563,223450,37543,260993,146399,171416,110822,52248,28087,19832,2593,531397,637296,1168693,745027,261849,137727
"district_code:353, state_name:JHARKHAND, district_name:Pakur",900422,452661,447761,352881,206989,145892,28469,14352,14117,379054,186967,192087,404584,234012,170572,252017,152567,495838,105334,150028,19471,129751,410127,322963,75865,356,283,222,88760,1846,5316,31414,328,4535,200588,16587,217175,100367,133770,79045,29934,15700,9822,1525,370163,548434,918597,587976,206826,104418
"district_code:354, state_name:JHARKHAND, district_name:Dhanbad",2684487,1405956,1278531,1722204,1014950,707254,437309,226362,210947,233119,117256,115863,844504,658851,185653,546714,297790,1839983,97118,103488,25889,618009,2149480,431762,11243,9727,331,1268,77182,3494,83995,427173,11568,46646,258764,405455,664219,317918,501453,449506,305054,186697,107382,14615,1882625,662522,2545147,1634835,648876,356445
"district_code:355, state_name:JHARKHAND, district_name:Bokaro",2062330,1072807,989523,1273520,759088,514432,299227,154297,144930,255626,129233,126393,685368,507677,177691,380304,305064,1376962,137521,126406,21671,399770,1636460,241451,13730,4174,1890,2045,160524,2056,67157,274726,9754,37997,250312,258452,508764,242467,338861,342646,232434,154076,116396,21157,1448037,595924,2043961,1261238,510375,282115
"district_code:356, state_name:JHARKHAND, district_name:Lohardaga",461790,232629,229161,259707,149568,110139,15330,7862,7468,262734,130814,131920,221332,121605,99727,103001,118331,240458,99780,80840,4449,36263,112378,95012,16770,51,33,15,235987,1544,8016,28769,351,2954,96759,14725,111484,82873,84920,63545,38503,21987,13847,976,306651,188323,494974,298844,100340,62244
"district_code:357, state_name:JHARKHAND, district_name:Purbi Singhbhum",2293919,1176902,1117017,1507699,856526,651173,111414,56147,55267,653923,325989,327934,837167,616249,220918,529578,307589,1456752,112059,209802,21438,493868,1550178,203999,30172,38544,892,1670,465367,3097,159644,382507,22042,63985,262537,342126,604663,202047,346644,369670,278853,162210,157688,25048,1542160,525916,2068076,1292595,632314,368148
"district_code:358, state_name:JHARKHAND, district_name:Palamu",1939869,1006302,933567,1024563,621706,402857,536382,277119,259263,181208,92577,88631,713175,473042,240133,283702,429473,1226694,133585,380976,19911,178703,1683169,238295,6164,734,188,284,5681,5354,17270,68238,2155,19981,355529,52375,407904,303053,296937,231565,160964,100290,63595,7117,1163521,803424,1966945,1244572,425668,268387
"district_code:359, state_name:JHARKHAND, district_name:Latehar",726978,369666,357312,350682,209706,140976,154910,78266,76644,331096,166427,164669,313379,180106,133273,117311,196068,413599,103693,142729,9205,57752,473049,69808,47653,120,128,16,133525,2679,2177,38194,340,6240,146377,14137,160514,109491,121529,88787,46142,23885,13956,1017,404807,349277,754084,484084,152720,89870
"district_code:360, state_name:JHARKHAND, district_name:Hazaribagh",1734495,890881,843614,1013249,596113,417136,303515,155013,148502,121768,60796,60972,654636,423472,231164,327316,327320,1079859,242460,172385,16150,223641,1397227,281247,17137,1312,71,1676,34154,1671,23057,176888,3532,18181,312983,68765,381748,253962,322344,255576,173378,99945,79898,6512,1191615,613774,1805389,1107452,396466,230033
"district_code:361, state_name:JHARKHAND, district_name:Ramgarh",949443,494230,455213,596497,350031,246466,106356,54986,51370,201166,101901,99265,312125,234202,77923,221112,91013,637318,90770,46815,8336,166204,774251,129037,7260,5093,69,537,32378,818,24095,149265,2876,12021,134067,118558,252625,115199,138748,134324,101381,70249,47207,5397,612505,292062,904567,594747,230525,123794
"district_code:362, state_name:JHARKHAND, district_name:Dumka",1321442,668514,652928,672409,406275,266134,79614,40802,38812,571077,282125,288952,624779,367108,257671,237479,387300,696663,193402,303084,23106,105187,1044726,106865,86404,234,267,162,78622,4162,11836,62110,1193,10396,303697,23281,326978,229157,229259,149009,69525,38383,25593,2697,743623,601078,1344701,799323,324226,196164
"district_code:363, state_name:JHARKHAND, district_name:Jamtara",791042,404830,386212,426312,258260,168052,72885,37212,35673,240489,120035,120454,326631,214740,111891,122434,204197,464411,106008,135667,11547,73409,550560,164406,4419,520,118,783,68564,1672,5564,49419,808,4959,165555,20113,185668,131150,132014,85745,40613,22995,14802,1578,428897,366012,794909,480895,189889,116810
"district_code:364, state_name:JHARKHAND, district_name:Ranchi",2914253,1494937,1419316,1911433,1085244,826189,152943,78613,74330,1042016,520582,521434,1142867,743967,398900,756176,386691,1771386,317487,267360,38452,519568,1612239,410759,193974,4826,932,2733,677445,11345,164237,350908,22538,76565,420740,310242,730982,361522,547583,495515,370847,247237,195181,28424,2246309,613855,2860164,1742293,725938,409166
"district_code:365, state_name:JHARKHAND, district_name:Khunti",531885,266335,265550,284575,164741,119834,24037,12223,11814,389626,193710,195916,259984,141123,118861,153087,106897,271901,166290,49448,9245,35001,138863,13122,136438,69,245,148,241292,1708,3779,29157,417,4747,123245,12474,135719,64029,89730,89924,48591,20689,10130,537,323630,177856,501486,327152,125649,78736
"district_code:366, state_name:JHARKHAND, district_name:Gumla",1025213,514390,510823,559720,321795,237925,32459,16446,16013,706754,352514,354240,487508,264774,222734,278931,208577,537705,321272,97918,12771,55547,309563,51429,202449,221,531,23,457468,3529,9108,31687,831,7807,216629,16445,233074,136719,242580,182260,82114,45613,23742,2913,715941,322119,1038060,643579,225871,155452
"district_code:367, state_name:JHARKHAND, district_name:Simdega",599578,300309,299269,343483,191991,151492,44674,22150,22524,424407,211546,212861,288645,159867,128778,155510,133135,310933,158019,90232,8011,32383,201524,15103,306601,51,753,114,73930,1502,3472,16865,423,4649,144169,11114,155283,82317,130068,97580,47836,24842,13674,1197,397514,191341,588855,357859,143560,97817
"district_code:368, state_name:JHARKHAND, district_name:Pashchimi Singhbhum",1502338,749385,752953,727561,439273,288288,56986,28144,28842,1011296,500949,510347,694863,392690,302173,343008,351855,807475,244172,267475,24825,158391,423937,38103,87587,946,389,52,945864,5460,19441,121955,1959,12472,336928,63396,400324,290007,461276,202752,79516,35824,10743,574,1080692,279016,1359708,960987,353305,187635
"district_code:369, state_name:JHARKHAND, district_name:Saraikela-Kharsawan",1065056,544411,520645,612993,365332,247661,56195,28243,27952,374642,187149,187493,430051,283281,146770,228598,201453,635005,116731,142966,10251,160103,709016,63588,8113,1114,187,72,280469,2497,26118,138131,2606,12081,217248,68439,285687,134506,259984,177763,106348,49944,29840,1443,759828,228943,988771,634975,265892,161542
"district_code:370, state_name:ORISSA, district_name:Bargarh",1481255,749161,732094,983783,557217,426566,298780,150420,148360,281135,140542,140593,762092,473305,288787,474390,287702,719163,216413,360650,48145,136884,1459065,7527,11744,652,161,125,44,1937,16880,166909,2401,12343,411566,47395,458961,205253,310784,247014,147217,58840,49238,8133,1026479,442733,1469212,787033,410005,282422
"district_code:371, state_name:ORISSA, district_name:Jharsuguda",579505,296690,282815,405879,228092,177787,104620,52580,52040,176758,88273,88485,247707,172018,75689,172069,75638,331798,40867,56809,15836,134195,553587,12783,10462,1441,80,70,67,1015,18950,81433,2498,7555,103224,73962,177186,69122,101541,103622,70928,32909,22010,7932,408064,143508,551572,320156,159477,98555
"district_code:372, state_name:ORISSA, district_name:Sambalpur",1041099,526877,514222,703691,393192,310499,191827,96511,95316,355261,177565,177696,505840,313161,192679,336854,168986,535259,86800,160798,59288,198954,964188,20120,50637,2506,310,86,1117,2135,33612,126498,5231,14521,220697,94798,315495,133005,185289,171876,108455,50705,45828,13071,708229,282248,990477,565700,286575,186726
"district_code:373, state_name:ORISSA, district_name:Debagarh",312520,158230,154290,197819,112649,85170,52112,26343,25769,110400,55126,55274,165435,92384,73051,83408,82027,147085,42660,82490,8087,32198,296001,704,14518,53,102,7,409,726,2236,22453,825,3247,91408,7350,98758,47615,58231,54088,27415,13420,9041,1729,211539,108811,320350,176062,81789,53989
"district_code:374, state_name:ORISSA, district_name:Sundargarh",2093437,1061147,1032290,1342322,750147,592175,191660,96465,95195,1062349,526856,535493,873227,584687,288540,535112,338115,1220210,184273,253327,26970,408657,1532352,71391,385011,5713,710,721,89986,7553,77581,223537,12787,35024,387911,230151,618062,208100,350349,335380,243386,120373,94710,36590,1388888,660465,2049353,1188918,573238,324436
"district_code:375, state_name:ORISSA, district_name:Kendujhar",1801733,906487,895246,1052518,605119,447399,209357,104684,104673,818878,405927,412951,766514,498077,268437,442497,324017,1035219,198044,310075,21314,237081,1752694,27752,9141,2177,209,131,7372,2257,30240,121830,2622,13167,490634,83664,574298,214518,287402,289350,158035,70059,57762,13918,1091044,700661,1791705,1038890,472908,282751
"district_code:376, state_name:ORISSA, district_name:Mayurbhanj",2519738,1256213,1263525,1369397,794171,575226,184682,92127,92555,1479576,730487,749089,1223534,697782,525752,548390,675144,1296204,238772,568755,113808,302199,2113079,33706,15008,661,162,109,351714,5299,29031,140189,2950,17999,689110,64479,753589,283489,390037,385216,214921,92060,72847,17415,1455985,1094844,2550829,1449729,650135,414076
"district_code:377, state_name:ORISSA, district_name:Baleshwar",2320529,1185787,1134742,1621232,902359,718873,478586,243597,234989,275678,137748,137930,932707,684020,248687,618064,314643,1387822,288818,358214,28736,256939,2197709,94254,6434,237,111,201,18345,3238,36478,296834,7370,28289,601154,82440,683594,342192,470502,416510,267354,112392,105962,27493,1742405,628627,2371032,1303828,622575,390611
"district_code:378, state_name:ORISSA, district_name:Bhadrak",1506337,760260,746077,1094140,596269,497871,334896,168687,166209,30428,15361,15067,468599,409559,59040,328097,140502,1037738,155956,151377,14451,146815,1398543,104202,745,169,81,111,61,2425,15864,164636,2637,15609,373862,54244,428106,210736,391081,297270,177013,71815,67536,17449,1232900,323145,1556045,848660,393629,260486
"district_code:379, state_name:ORISSA, district_name:Kendrapara",1440361,717814,722547,1089265,579970,509295,309780,155531,154249,9484,4748,4736,466890,386382,80508,322265,144625,973471,149264,143864,16544,157218,1386792,50247,1423,169,62,52,24,1592,15879,173107,1628,11836,414749,23494,438243,218444,357621,298557,203472,76449,75926,12507,1242976,294723,1537699,771284,374559,290894
"district_code:380, state_name:ORISSA, district_name:Jagatsinghapur",1136971,577865,559106,889027,481049,407978,248152,125184,122968,7862,4226,3636,403649,325589,78060,290170,113479,733322,111320,110323,16357,165649,1086140,46929,1604,206,74,58,63,1897,20225,139646,3199,13312,309685,43047,352732,151737,251767,251332,185671,72703,70602,14001,997813,209984,1207797,577896,317148,238753
"district_code:381, state_name:ORISSA, district_name:Cuttack",2624470,1352760,1271710,2011469,1103033,908436,498633,254456,244177,93745,47437,46308,936365,761876,174489,696274,240091,1688105,138698,248298,51809,497560,2457729,141263,11985,1026,6276,1180,168,4843,103177,349587,15046,40589,579529,210768,790297,289414,545514,513039,328319,159456,181601,45279,2062622,472182,2534804,1372301,743090,499895
"district_code:382, state_name:ORISSA, district_name:Jajapur",1827192,926034,901158,1290455,706396,584059,433387,220553,212834,151432,76048,75384,552234,486091,66143,407564,144670,1274958,120881,186021,20938,224394,1725595,93642,1623,470,58,100,3073,2631,25969,192249,3831,17922,495611,45528,541139,261077,433653,330016,223657,96963,87623,19271,1452260,460953,1913213,1010147,479392,332706
"district_code:383, state_name:ORISSA, district_name:Dhenkanal",1192811,612593,580218,829910,464093,365817,234079,118755,115324,162056,80878,81178,435533,340552,94981,277338,158195,757278,71230,163636,17312,183355,1185542,4805,727,124,366,39,139,1069,19846,117172,1810,10600,315390,36979,352369,188872,238599,193395,132002,53162,43064,10903,859997,341887,1201884,641697,326233,222398
"district_code:384, state_name:ORISSA, district_name:Anugul",1273821,655718,618103,869456,494425,375031,239552,121459,118093,179603,89980,89623,526520,360947,165573,317547,208973,747301,107607,172414,35069,211430,1258684,7512,3383,812,226,36,971,2197,27099,131916,5564,15658,340410,74177,414587,180523,265782,204235,129226,58029,45588,16602,899985,347851,1247836,708493,347521,213517
"district_code:385, state_name:ORISSA, district_name:Nayagarh",962789,502636,460153,688362,392333,296029,136399,69813,66586,58691,29173,29518,343633,284591,59042,229076,114557,619156,83022,120129,17557,122925,955754,5278,383,107,33,24,12,1198,11159,124984,1163,8278,261646,26688,288334,174904,227102,177180,90089,36951,33148,5685,745059,232558,977617,502136,262086,196994
"district_code:386, state_name:ORISSA, district_name:Khordha",2251673,1167137,1084536,1749936,957515,792421,297472,151528,145944,115051,59094,55957,792193,645880,146313,632625,159568,1459480,92662,116274,39471,543786,2147632,84060,12527,1264,475,476,434,4805,160277,349860,35701,75588,331834,356895,688729,276378,445785,436534,295099,177974,247498,66645,1945913,371244,2317157,1199521,653346,391701
"district_code:387, state_name:ORISSA, district_name:Puri",1698730,865380,833350,1291939,704857,587082,325133,164366,160767,6129,3240,2889,621676,498461,123215,450536,171140,1077054,172761,163942,25115,259858,1644905,46094,4239,193,243,94,302,2660,33331,201605,3416,16006,402014,72210,474224,251520,413605,364098,179086,84374,87000,15511,1395194,309790,1704984,888134,477430,328666
"district_code:388, state_name:ORISSA, district_name:Ganjam",3529031,1779218,1749813,2210050,1262652,947398,688235,342111,346124,118928,59172,59756,1501772,990027,511745,900744,601028,2027259,284943,565448,56274,595107,3486059,13315,23975,590,174,170,76,4672,120191,405298,9049,41059,795476,219918,1015394,518072,767140,508511,297490,121151,97147,31266,2340777,1055331,3396108,1980232,924756,613249
"district_code:389, state_name:ORISSA, district_name:Gajapati",577817,282882,294935,262537,153663,108874,39175,19037,20138,313714,151902,161812,293933,155907,138026,170371,123562,283884,65062,153199,5370,70302,353160,1556,219482,53,2180,66,4,1316,12035,63112,635,5523,152095,23050,175145,68405,76419,54787,36977,17084,12556,1882,268110,335821,603931,345387,144043,85072
"district_code:390, state_name:ORISSA, district_name:Kandhamal",733110,359945,373165,399786,233900,165886,115544,56987,58557,392820,190506,202314,355349,193515,161834,167112,188237,377761,79221,162932,11946,101250,580300,2138,148895,82,290,47,23,1335,6938,28736,768,6609,218446,24489,242935,108606,145604,108773,48856,21351,14962,2462,450614,287948,738562,436625,177471,117777
"district_code:391, state_name:ORISSA, district_name:Baudh",441162,221625,219537,271612,158648,112964,104934,52497,52437,55364,27362,28002,219457,125627,93830,123724,95733,221705,63657,104685,11674,39441,438152,1007,522,24,5,11,7,1434,3105,19191,245,3430,131377,6577,137954,74205,98316,67549,30799,12500,8124,1683,293176,146392,439568,253467,111571,75046
"district_code:392, state_name:ORISSA, district_name:Subarnapur",610183,311312,298871,398421,230393,168028,156219,79725,76494,57192,28794,28398,286661,181595,105066,170218,116443,323522,74005,139413,18756,54487,605225,1566,2374,58,46,17,6,891,5168,50028,708,4289,176927,16575,193502,86120,139994,105846,65368,25556,16745,4881,444510,167244,611754,341561,153760,113450
"district_code:393, state_name:ORISSA, district_name:Balangir",1648997,830097,818900,927260,545672,381588,294777,148356,146421,347164,172489,174675,720601,469956,250645,402227,318374,928396,166565,326416,28650,198970,1618175,7811,16271,565,467,2225,141,3342,21268,123446,3286,17274,476770,62192,538962,240180,298288,226728,116297,54694,42401,6810,985398,721389,1706787,904026,430011,310876
"district_code:394, state_name:ORISSA, district_name:Nuapada",610382,301962,308420,299383,180903,118480,82159,40742,41417,206327,100469,105858,305438,168155,137283,151694,153744,304944,94692,149834,8641,52271,601092,4952,1778,724,76,905,22,833,6414,43976,757,4221,197258,11869,209127,64389,114394,73787,51886,19577,10131,4316,338480,316086,654566,344075,152681,112325
"district_code:395, state_name:ORISSA, district_name:Kalahandi",1576869,787101,789768,802036,484177,317859,286580,142133,144447,449456,221171,228285,751930,447290,304640,376757,375173,824939,144991,436733,18453,151753,1555367,4975,11160,796,175,1225,220,2951,17610,91171,1953,12622,456336,38412,494748,213426,225468,172905,94044,40383,27385,6840,780451,765368,1545819,880160,415778,275533
"district_code:396, state_name:ORISSA, district_name:Rayagada",967911,471960,495951,407735,241959,165776,139514,68068,71446,541905,259040,282865,467122,258032,209090,227815,239307,500789,99265,248175,9959,109723,874445,4607,84916,219,249,123,44,3308,24924,61543,1553,9166,237343,49205,286548,84956,97387,73210,46001,21439,17681,6306,346980,583140,930120,577569,245766,140825
"district_code:397, state_name:ORISSA, district_name:Nabarangapur",1220946,604812,616134,470379,286984,183395,177384,88252,89132,681173,335028,346145,610906,342641,268265,279115,331791,610040,173086,328783,14409,94628,1178005,6753,32152,169,189,325,54,3299,9347,34570,1324,8128,342840,29424,372264,116468,155611,95988,44522,16463,11198,2282,442532,739190,1181722,745206,297552,171761
"district_code:398, state_name:ORISSA, district_name:Koraput",1379647,678809,700838,568090,340843,227247,196540,96789,99751,697583,337373,360210,693406,384053,309353,396460,296946,686241,207194,290626,14416,181170,1294151,8850,68550,518,219,491,3384,3484,39631,85766,3988,17294,381789,78339,460128,158847,158653,98266,60589,32257,29000,10200,547812,770707,1318519,818578,348803,207206
"district_code:399, state_name:ORISSA, district_name:Malkangiri",613192,303624,309568,244706,147001,97705,138295,70052,68243,354614,171717,182897,310666,170495,140171,179030,131636,302526,151260,106353,7725,45328,600219,1871,10039,213,43,195,35,577,4738,24604,448,3908,167884,15839,183723,60913,64683,44962,19031,8487,5585,1202,204863,390356,595219,381913,146355,83284
"district_code:400, state_name:CHHATTISGARH, district_name:Koriya",658917,334737,324180,397823,229923,167900,54776,27682,27094,304280,152659,151621,307071,185483,121588,173057,134014,351846,118498,94648,4830,89095,604259,25878,9398,1391,84,1155,15474,1278,25605,80023,1667,7609,121852,59763,181615,143413,109639,87969,47127,38677,26802,4134,457761,179639,637400,399581,165022,94073
"district_code:401, state_name:CHHATTISGARH, district_name:Surguja",2359886,1193129,1166757,1187941,694686,493255,115652,58281,57371,1300628,652799,647829,1155807,649888,505919,622589,533218,1204079,465287,523356,12643,154521,2126195,81442,97432,2303,1287,623,48295,2309,29433,253131,2737,18983,525596,65167,590763,364452,338509,281260,135374,105992,64607,9524,1299718,991866,2291584,1441436,561915,355077
"district_code:402, state_name:CHHATTISGARH, district_name:Jashpur",851669,424747,426922,495415,280656,214759,48844,24317,24527,530378,262731,267647,487360,263645,223715,291349,196011,364309,226866,197558,7553,55383,629509,15336,189588,474,467,694,14835,766,6628,76783,567,5755,205670,20722,226392,120768,137681,127299,64188,50562,26161,3166,529825,328438,858263,488965,214455,148100
"district_code:403, state_name:CHHATTISGARH, district_name:Raigarh",1493984,750278,743706,951639,542756,408883,224942,112111,112831,505609,250473,255136,690167,429211,260956,484875,205292,803817,208313,323788,9959,148107,1422986,17332,47653,2117,781,409,1782,924,27771,297308,3342,13857,354278,66638,420916,246480,260661,210964,130700,93340,66358,8804,1017307,460166,1477473,841958,398257,253488
"district_code:404, state_name:CHHATTISGARH, district_name:Korba",1206640,612915,593725,748759,433391,315368,124679,63446,61233,493559,246323,247236,521186,333329,187857,350314,170872,685454,113071,221806,7899,178410,1133176,30195,21059,3666,897,753,15649,1245,43357,202380,4544,18004,206598,126055,332653,178191,188303,168387,89167,83166,61215,11792,780221,410186,1190407,729708,309479,166959
"district_code:405, state_name:CHHATTISGARH, district_name:Janjgir - Champa",1619707,815717,803990,1019634,593679,425955,397908,199633,198275,187196,93186,94010,846466,478278,368188,461887,384579,773241,281266,402359,15828,147013,1597089,14173,2926,635,556,707,2220,1401,19129,339090,1706,10833,379583,61190,440773,257020,241692,241761,152183,127543,58712,7630,1086541,587734,1674275,975114,383172,260898
"district_code:406, state_name:CHHATTISGARH, district_name:Bilaspur",2663629,1351574,1312055,1596560,932474,664086,552992,281221,271771,498469,248172,250297,1203197,715467,487730,826568,376629,1460432,276691,572292,21658,332556,2540763,57973,20745,6373,2979,2357,29122,3317,77727,519704,8566,30892,549632,188174,737806,382091,407692,337793,189296,152838,134637,19654,1624001,943112,2567113,1625484,655032,380114
"district_code:407, state_name:CHHATTISGARH, district_name:Kabeerdham",822526,412058,410468,414167,248503,165664,119798,60154,59644,167043,82597,84446,404156,217073,187083,316976,87180,418370,167662,185850,3046,47598,776013,12206,980,924,433,1167,30222,581,6375,150649,682,2962,187311,23868,211179,126806,123840,84147,37650,28074,16671,1679,418867,376852,795719,515971,198517,107854
"district_code:408, state_name:CHHATTISGARH, district_name:Rajnandgaon",1537133,762855,774278,1008379,561355,447024,156623,76979,79644,405194,198032,207162,800092,436611,363481,595959,204133,737041,342116,290108,10847,157021,1399658,23648,5193,3761,28541,8187,67444,701,26486,275501,2111,11790,313604,76528,390132,263447,287436,267653,105149,82141,51698,5340,1062864,467554,1530418,898915,404418,233068
"district_code:409, state_name:CHHATTISGARH, district_name:Durg",3343872,1682101,1661771,2303378,1284612,1018766,458040,229067,228973,397416,196008,201408,1496805,921729,575076,1206793,290012,1847067,392341,560415,22565,521484,3129745,83499,24304,24276,19587,17209,42569,2683,129193,614109,16141,51289,533448,349741,883189,463598,573291,497668,309508,286244,202424,30555,2363288,823501,3186789,1919832,898241,523656
"district_code:410, state_name:CHHATTISGARH, district_name:Raipur",4063872,2048186,2015686,2629749,1493158,1136591,724250,362284,361966,476446,235271,241175,1757664,1099964,657700,1259138,498526,2306208,383279,708993,34078,631314,3881485,103038,23181,16707,8397,17137,10680,3247,166505,728556,20261,59523,673499,395001,1068500,618508,664470,552373,313247,267265,227382,31483,2674728,1247434,3922162,2454299,1038155,560184
"district_code:411, state_name:CHHATTISGARH, district_name:Mahasamund",1032754,511967,520787,637963,364089,273874,139581,68968,70613,279896,137339,142557,499260,291858,207402,340802,158458,533494,139199,278073,6135,75853,1008061,12570,5284,2941,521,1495,1417,465,13200,212487,961,5614,274793,35774,310567,179770,194739,152183,78583,57949,33357,5951,702532,384764,1087296,582544,272009,177826
"district_code:412, state_name:CHHATTISGARH, district_name:Dhamtari",799781,397897,401884,546833,303924,242909,58581,28887,29694,207633,102058,105575,402895,226382,176513,335368,67527,396886,135435,182602,7310,77548,777188,10425,2644,1196,667,3612,3685,364,14568,148926,1016,4804,168689,41792,210481,143128,148544,120146,65196,58875,31319,5096,572304,214637,786941,461125,213021,125429
"district_code:413, state_name:CHHATTISGARH, district_name:Uttar Bastar Kanker",748941,373338,375603,456042,258298,197744,31543,15582,15961,414770,203934,210836,389359,217513,171846,285536,103823,359582,194018,129142,7811,58388,627460,6040,4007,552,2213,1071,105869,1729,7736,110208,579,4084,169191,24878,194069,135206,124893,100674,47002,43956,21410,1658,474799,243039,717838,437598,197603,113450
"district_code:414, state_name:CHHATTISGARH, district_name:Bastar",1413199,698487,714712,650863,382335,268528,37963,18815,19148,931780,456841,474939,726531,404364,322167,394824,331707,686668,284472,287828,10821,143410,1277975,12413,27951,2099,985,3466,86925,1385,22075,157646,1782,9042,316425,54894,371319,183667,178766,139330,60936,57413,32895,3227,656234,729550,1385784,864272,358157,189569
"district_code:415, state_name:CHHATTISGARH, district_name:Narayanpur",139820,70104,69716,56621,33449,23172,4979,2518,2461,108161,53518,54643,71089,38186,32903,42056,29033,68731,44389,13820,939,11941,129161,776,600,96,71,409,8542,165,1384,9316,86,589,26916,6179,33095,16980,16034,9513,4158,4488,2216,268,53657,78331,131988,91338,33956,14367
"district_code:416, state_name:CHHATTISGARH, district_name:Dakshin Bastar Dantewada",533638,264142,269496,191237,116529,74708,12996,6648,6348,410255,199731,210524,286595,153294,133301,184285,102310,247043,165389,69385,2310,49511,513915,6437,4888,457,352,1044,6071,474,10406,43608,955,3879,106545,31304,137849,40079,39023,27720,16665,16905,11197,1372,152961,336963,489924,334987,140188,58170
"district_code:417, state_name:CHHATTISGARH, district_name:Bijapur",255230,128663,126567,86919,54076,32843,10122,5145,4977,204189,101519,102670,134525,71591,62934,69338,65187,120705,66504,49859,1399,16763,245151,1617,2709,68,1649,15,3793,228,1022,12516,117,1462,50449,7942,58391,25597,22787,14170,7192,6755,3421,147,80069,163278,243347,167348,63802,23927
"district_code:418, state_name:MADHYA PRADESH, district_name:Sheopur",687861,361784,326077,328025,208201,119824,108391,57838,50553,161448,82637,78811,277455,183788,93667,196189,81266,410406,106745,115261,4166,51283,638702,41396,230,6387,201,379,40,526,11701,74770,273,5393,150146,26376,176522,90911,70840,43009,37072,24732,17091,1497,285152,393141,678293,449974,155063,82416
"district_code:419, state_name:MADHYA PRADESH, district_name:Morena",1965970,1068417,897553,1179685,747652,432033,421519,228548,192971,17030,8947,8083,675993,525329,150664,520970,155023,1289977,304674,148222,16354,206743,1875495,76159,1092,557,3234,6681,92,2660,45113,131486,1781,20172,319298,95288,414586,288979,285682,228234,170254,115790,71005,8265,1168209,706917,1875126,1254302,452484,257704
"district_code:420, state_name:MADHYA PRADESH, district_name:Bhind",1703005,926843,776162,1094917,676513,418404,374799,204212,170587,6131,3283,2848,520768,455775,64993,422111,98657,1182237,231185,158266,9838,121479,1595400,66776,973,4047,12215,19950,73,3571,32268,107819,1166,14368,271211,88385,359596,202629,261162,199044,140743,96011,50222,8059,957870,388473,1346343,1040736,399676,258588
"district_code:421, state_name:MADHYA PRADESH, district_name:Gwalior",2032036,1090327,941709,1357210,803114,554096,393068,210354,182714,72133,37704,34429,685311,548820,136491,559845,125466,1346725,130586,120348,22592,411785,1835299,141735,4119,24790,4361,18058,217,3457,165061,306859,15779,46454,172720,272172,444892,235648,235924,204871,193082,166719,193947,23148,1253339,554486,1807825,1218319,519728,291451
"district_code:422, state_name:MADHYA PRADESH, district_name:Datia",786754,420157,366597,491445,303815,187630,200270,107132,93138,15061,7870,7191,321160,225662,95498,247229,73931,465594,152903,93744,6839,67674,747693,28483,683,490,7923,453,10,1019,17555,97696,616,5251,160453,43401,203854,132176,131372,88949,73398,48978,34853,4262,513988,260076,774064,473097,195131,118186
"district_code:423, state_name:MADHYA PRADESH, district_name:Shivpuri",1726050,919795,806255,900846,573242,327604,321515,171565,149950,227802,117111,110691,759281,481001,278280,577723,181558,966769,383340,220440,13079,142422,1648749,51200,1117,7151,3421,12171,72,2169,35706,148128,1852,15304,367859,66759,434618,261087,214162,125117,84684,58509,44812,6218,794589,719547,1514136,1106084,389652,227989
"district_code:424, state_name:MADHYA PRADESH, district_name:Tikamgarh",1445166,760355,684811,747940,459353,288587,361604,190666,170938,67857,34923,32934,655318,402776,252542,470432,184886,789848,305859,223852,15622,109985,1383475,44143,588,251,109,15569,39,992,21489,132725,1090,10899,322772,60220,382992,202448,188694,143231,78053,58245,35034,5340,711045,659348,1370393,898323,343824,201875
"district_code:425, state_name:MADHYA PRADESH, district_name:Chhatarpur",1762375,936121,826254,943033,572010,371023,405313,215258,190055,73597,38081,35516,751797,481518,270279,553862,197935,1010578,302228,238364,26390,184815,1676918,70351,1980,968,250,10409,102,1397,36506,176056,1880,15567,375869,95048,470917,270951,236054,160310,112961,77787,59704,7837,925604,770268,1695872,1112636,394060,252417
"district_code:426, state_name:MADHYA PRADESH, district_name:Panna",1016520,533480,483040,552559,332140,220419,207990,109421,98569,170879,87697,83182,431998,275375,156623,276633,155365,584522,135445,198847,12201,85505,974748,35214,418,186,37,4734,218,965,13285,76097,653,8501,256744,32179,288923,171707,134936,99251,70359,47903,29795,3052,557003,427997,985000,635347,235035,144827
